dimension,case,grid_size,mode,mode_key,solver,cycle,mg_coarse,omega,nu,backend,dtype,omp_num_threads,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,speedup,efficiency,tol,max_iter,repeat_runs,converged,source
2,sine,4095,MG V exact,mg_v_exact,mg,v,exact,1.250000,3,omp,double,1,4,5.092777e-10,2.450541e-08,4.900693e-08,1.346555e+03,1.346555e+00,1.000000e+00,1.000000e+00,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V exact,mg_v_exact,mg,v,exact,1.250000,3,omp,double,2,4,5.092777e-10,2.450541e-08,4.900693e-08,9.150790e+02,9.150790e-01,1.471518e+00,7.357589e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V exact,mg_v_exact,mg,v,exact,1.250000,3,omp,double,4,4,5.092777e-10,2.450541e-08,4.900693e-08,7.518850e+02,7.518850e-01,1.790906e+00,4.477264e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V exact,mg_v_exact,mg,v,exact,1.250000,3,omp,double,6,4,5.092777e-10,2.450541e-08,4.900693e-08,7.188130e+02,7.188130e-01,1.873304e+00,3.122173e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V exact,mg_v_exact,mg,v,exact,1.250000,3,omp,double,8,4,5.092777e-10,2.450541e-08,4.900693e-08,7.147680e+02,7.147680e-01,1.883905e+00,2.354881e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V exact,mg_v_exact,mg,v,exact,1.250000,3,omp,double,12,4,5.092777e-10,2.450541e-08,4.900693e-08,7.280800e+02,7.280800e-01,1.849460e+00,1.541217e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V exact,mg_v_exact,mg,v,exact,1.250000,3,omp,double,16,4,5.092777e-10,2.450541e-08,4.900693e-08,7.436090e+02,7.436090e-01,1.810837e+00,1.131773e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V SOR,mg_v_sor,mg,v,sor,1.250000,3,omp,double,1,4,5.091152e-10,2.450540e-08,4.900694e-08,1.365400e+03,1.365400e+00,1.000000e+00,1.000000e+00,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V SOR,mg_v_sor,mg,v,sor,1.250000,3,omp,double,2,4,5.091152e-10,2.450540e-08,4.900694e-08,9.217920e+02,9.217920e-01,1.481245e+00,7.406226e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V SOR,mg_v_sor,mg,v,sor,1.250000,3,omp,double,4,4,5.091152e-10,2.450540e-08,4.900694e-08,7.422760e+02,7.422760e-01,1.839477e+00,4.598694e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V SOR,mg_v_sor,mg,v,sor,1.250000,3,omp,double,6,4,5.091152e-10,2.450540e-08,4.900694e-08,7.221680e+02,7.221680e-01,1.890696e+00,3.151160e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V SOR,mg_v_sor,mg,v,sor,1.250000,3,omp,double,8,4,5.091152e-10,2.450540e-08,4.900694e-08,7.369680e+02,7.369680e-01,1.852726e+00,2.315908e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V SOR,mg_v_sor,mg,v,sor,1.250000,3,omp,double,12,4,5.091152e-10,2.450540e-08,4.900694e-08,7.294960e+02,7.294960e-01,1.871703e+00,1.559753e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG V SOR,mg_v_sor,mg,v,sor,1.250000,3,omp,double,16,4,5.091152e-10,2.450540e-08,4.900694e-08,7.441510e+02,7.441510e-01,1.834843e+00,1.146777e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG W exact,mg_w_exact,mg,w,exact,1.250000,3,omp,double,1,3,7.803588e-10,2.451015e-08,4.902105e-08,1.333003e+03,1.333003e+00,1.000000e+00,1.000000e+00,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG W exact,mg_w_exact,mg,w,exact,1.250000,3,omp,double,2,3,7.803588e-10,2.451015e-08,4.902105e-08,9.134880e+02,9.134880e-01,1.459245e+00,7.296226e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG W exact,mg_w_exact,mg,w,exact,1.250000,3,omp,double,4,3,7.803588e-10,2.451015e-08,4.902105e-08,7.476160e+02,7.476160e-01,1.783005e+00,4.457512e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG W exact,mg_w_exact,mg,w,exact,1.250000,3,omp,double,6,3,7.803588e-10,2.451015e-08,4.902105e-08,7.366430e+02,7.366430e-01,1.809564e+00,3.015941e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG W exact,mg_w_exact,mg,w,exact,1.250000,3,omp,double,8,3,7.803588e-10,2.451015e-08,4.902105e-08,7.260300e+02,7.260300e-01,1.836016e+00,2.295021e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG W exact,mg_w_exact,mg,w,exact,1.250000,3,omp,double,12,3,7.803588e-10,2.451015e-08,4.902105e-08,7.433720e+02,7.433720e-01,1.793184e+00,1.494320e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG W exact,mg_w_exact,mg,w,exact,1.250000,3,omp,double,16,3,7.803588e-10,2.451015e-08,4.902105e-08,7.856240e+02,7.856240e-01,1.696744e+00,1.060465e-01,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG W SOR,mg_w_sor,mg,w,sor,1.250000,3,omp,double,1,3,7.801309e-10,2.451013e-08,4.902100e-08,1.351136e+03,1.351136e+00,1.000000e+00,1.000000e+00,1.000000e-09,150,10,true,wrapper
2,sine,4095,MG W SOR,mg_w_sor,mg,w,sor,1.250000,3,omp,double,2,3,7.801309e-10,2.451013e-08,4.902100e-08,9.401140e+02,9.401140e-01,1.437204e+00,7.186022e-01,1.000000e-09,150,10,true,wrapper
